id,name,year,doi,transmission_1,transmission_2,model_1,model_2,methodology_1,methodology_2,methodology_3,behavior_1,behavior_2,behavior_3,data
scholar_19,personal protective strategies for dengue disease: simulations in two coexisting virus serotypes scenarios,2021,10.1016/j.matcom.2021.04.002,vector,,deterministic,,odes,,,protection,information,,no
scholar_20,potential causes and consequences of behavioural resilience and resistance in malaria vector populations: a mathematical modelling analysis,2014,10.1186/1475-2875-13-97,vector,,deterministic,,odes,,,protection,,,no
scholar_21,a mathematical model of dengue transmission with memory,2014,10.1016/j.cnsns.2014.08.009,vector,,deterministic,fractional,odes,fdes,,memory,,,no
scholar_22,a mathematical model for the control of carrier-dependent infectious diseases with direct transmission and time delay,2013,10.1016/j.chaos.2013.08.002,vector,,deterministic,,odes,,,protection,,,no
scholar_23,evaluating epidemic intervention policies with systems thinking: a case study of dengue fever in mexico,1999,10.1002/(sici)1099-1727(199922)15:2<119::aid-sdr163>3.0.co;2-g,vector,,,,,,,,,,yes
scholar_24,"emergence of viral diseases: mathematical modeling as a tool for infection control, policy and decision making",2010,10.3109/10408411003604619,human,,,,,,,,,,no
scholar_25,mathematical analysis of a hybrid model: impacts of individual behaviors on the spreading of an epidemic,2022,10.3934/nhm.2022010,human,,deterministic,abm,odes,network,,protection,movement,information,no
scholar_26,"complex network model for covid-19: human behavior, pseudo-periodic solutions and multiple epidemic waves",2021,10.1016/j.jmaa.2021.125171,human,,deterministic,,odes,network,,information,policies,,yes
scholar_27,a generic model for a single strain mosquito-transmitted disease with memory on the host and the vector,2015,10.1016/j.mbs.2015.01.009,vector,,deterministic,,odes,,,memory,,,yes
scholar_28,mathematical modeling of malaria transmission dynamics in humans with mobility and control states,2023,10.1016/j.idm.2023.08.005,vector,,deterministic,,odes,,,movement,control,,yes
scholar_29,decisions under uncertainty: a computational framework for quantification of policies addressing infectious disease epidemics,2007,10.1007/s00477-007-0137-y,human,,stochastic,,network,,,movement,,,yes
scholar_30,effect of negligence and length of time delay in spontaneous behavioural changes for the response to epidemics,2017,10.1002/mma.4926,human,,deterministic,,odes,,,memory,beliefs,,no
scholar_31,the influence of gender and temephos exposure on community participation in dengue prevention: a compartmental mathematical model,2024,10.1186/s12879‐024‐09341‐w,vector,,deterministic,,odes,,,control,,,yes
scholar_32,optimization methods for decision making in disease prevention and epidemic control,2013,10.1016/j.mbs.2013.09.007,human,,dpec,stochastic,functions,,,vaccination,policies,,no
scholar_33,"
exploring epidemic voluntary vaccinating behavior based on information-driven decisions and benefit-cost analysis",2023,10.1016/j.amc.2023.127905,human,,deterministic,,odes,functions,,vaccination,information,,no
scholar_34,a network-patch methodology for adapting agent- based models for directly transmitted disease to mosquito-borne disease,2015,10.1080/17513758.2015.1005698,vector,,abm,deterministic,network,odes,,movement,,,no
scholar_35,"
game-theoretic frameworks for epidemic spreading and human decision-making: a review",2022,10.1007/s13235-022-00428-0,human,,,,,,,,,,no
scholar_36,strategic decision making about travel during disease outbreaks: a game theoretical approach,2018,10.1098/rsif.2018.0515,human,,deterministic,,odes,functions,,movement,,,yes
scholar_37,modeling individual fear factor with optimal control in a disease-dynamic system,2017,10.1016/j.chaos.2017.09.001,human,,deterministic,,odes,network,,information,fear,,no
scholar_38,mathematical models of ebola virus disease with socio-economic dynamics,2019,,human,,,,,,,,,,no
scholar_39,"leveraging an epidemic–economic
mathematical model to assess
human responses to covid‐19
policies and disease progression",2023,10.1038/s41598-023-39723-0,human,,deterministic,,odes,pdes,mc,protection,vaccination,control,no
scholar_40,merging economics and epidemiology to improve the prediction and management of infectious disease,2014,10.1007/s10393-014-0963-6,human,,deterministic,,odes,,,information,,,no
scholar_41,"the game-theoretical model of using insecticide-treated bed-nets to
fight malaria",2016,10.4236/am.2016.79076,vector,,deterministic,,odes,,,protection,,,no
scholar_42,disease-driven reduction in human mobility influences human-mosquito contacts and dengue transmission dynamics,2021,10.1371/journal.pcbi.1008627,vector,,stochastic,,network,,,movement,,,no
scholar_43,the value of information in decision-analytic modeling for malaria vector control in east africa,2017,10.1111/risa.12606,vector,,,,,,,,,,no
scholar_44,"global dynamics and optimal control of multi-age structured vector disease model with vaccination, relapse and general incidence",2023,10.1007/s12346-022-00724-5,vector,,deterministic,,odes,pdes,,vaccination,,,no
scholar_45,"a population dynamics model of mosquito-borne disease transmission, focusing on mosquitoes’ biased distribution and mosquito repellent use",2019,10.1007/s11538-019-00666-1,vector,,deterministic,,odes,,,protection,,,no
scholar_46,threshold dynamics of a time-delayed epidemic model for continuous imperfect-vaccine with a generalized nonmonotone incidence rate,2020,10.1007/s11071-020-05825-x,human,,deterministic,,odes,,,vaccination,,,yes
scholar_47,erlang-distributed seir epidemic models with cross-diffusion,2023,10.3390/math11092167,human,,deterministic,stochastic,pdes,odes,,movement,,,no
scholar_48,on a new simvw epidemic model with vaccination and endemic testing,2019,10.1088/1742-6596/1419/1/012029,vector,,deterministic,,odes,,,vaccination,,,no
